                  Baseline   RandomOS   IL-SMOTE   NE-maxSP   NE-maxAG   NE-allSP   NE-allAG   NE-KNNSP   NE-KNNAG   NE-SMOTE 
abalone             0.1753     0.9171     0.8871     0.9117     0.9108     0.9315     0.9344     0.9068     0.9077     0.9314 
abalone_19          0.0089     0.9970     0.9668     0.9926     0.9950     0.9919     0.9910     0.9914     0.9880     0.9901 
car_eval_34         0.6187     0.9900     0.9944     0.9970     0.9973     0.9926     0.9914     0.9979     0.9972     0.9933 
car_eval_4          0.3907     0.9948     0.9960     0.9990     0.9982     0.9957     0.9953     0.9991     0.9992     0.9956 
ecoli               0.4517     0.9516     0.9296     0.9996     1.0000     0.9963     0.9973     0.9990     0.9984     0.9971 
optical_digits      0.7050     0.9961     0.9956     0.9958     0.9955     0.9808     0.9791     0.9962     0.9961     0.9820 
ozone_level         0.0376     0.9883     0.9713     0.9972     0.9964 --         --             0.9961     0.9972     0.9925 
sick_euthyroid      0.8078     0.9870     0.9773     0.9935     0.9928     0.9910     0.9902     0.9922     0.9911     0.9890 
solar_flare_m0      0.1017     0.8997     0.9308     0.9280     0.9270     0.9910     0.9905     0.9291     0.9256     0.9919 
spectrometer        0.6071     0.9904     0.9649     0.9997     0.9997     0.9979 --             0.9995     1.0000 --         
thyroid_sick        0.7208     0.9930     0.9905     0.9959     0.9962 --             0.9906     0.9954     0.9946     0.9905 
us_crime            0.3599     0.9574     0.9337     0.9906     0.9897 --         --             0.9905     0.9897 --         
wine_quality        0.1381     0.9856     0.9477     0.9841     0.9843     0.9817     0.9811     0.9811     0.9755     0.9795 
yeast_me2           0.0834     0.9814     0.9581     0.9982     0.9978     0.9947     0.9949     0.9951     0.9975 --         
yeast_ml8           0.0727     0.9817     0.9289     0.9999     0.9997 --             0.9828     0.9994     0.9994 --         
