dataset                  BT - prep         BT - query        ring - prep       ring - query        HNSW - prep       HNSW - query          SS - prep         SS - query
ecoli             0.0002 +- 0.0008   0.0000 +- 0.0002   0.0263 +- 0.0013   0.0004 +- 0.0006   0.2914 +- 0.0158   0.0005 +- 0.0005   0.0147 +- 0.0023   0.0024 +- 0.0116
abalone           0.0029 +- 0.0011   0.0001 +- 0.0008   0.4321 +- 0.0477   0.0006 +- 0.0006   5.4569 +- 0.4959   0.0009 +- 0.0009   0.4142 +- 0.0853   0.0047 +- 0.0029
sick_euthyroid    0.0085 +- 0.0009   0.0003 +- 0.0007   0.9961 +- 0.1157   0.0016 +- 0.0084   5.4298 +- 0.6037   0.0010 +- 0.0010   1.4747 +- 0.2069   0.0133 +- 0.0454
spectrometer      0.0016 +- 0.0009   0.0000 +- 0.0005   0.3552 +- 0.0146   0.0008 +- 0.0008   0.7685 +- 0.0238   0.0008 +- 0.0008   0.4758 +- 0.0205   0.0076 +- 0.0019
car_eval_34       0.0021 +- 0.0009   0.0003 +- 0.0007   0.3171 +- 0.0173   0.0058 +- 0.0058   4.2711 +- 0.2056   0.0015 +- 0.0006   0.3274 +- 0.0225   0.0031 +- 0.0011
us_crime          0.0103 +- 0.0016   0.0006 +- 0.0006   1.4125 +- 0.0511   0.0081 +- 0.0064   3.4492 +- 0.1493   0.0011 +- 0.0013   2.3075 +- 0.1931   0.0168 +- 0.0035
car_eval_4        0.0025 +- 0.0007   0.0001 +- 0.0009   0.3291 +- 0.0373   0.0041 +- 0.0053   4.3605 +- 0.4990   0.0015 +- 0.0005   0.3379 +- 0.0745   0.0030 +- 0.0010
thyroid_sick      0.0123 +- 0.0015   0.0004 +- 0.0006   1.3500 +- 0.1641   0.0076 +- 0.0747   7.1431 +- 1.1792   0.0009 +- 0.0009   2.1036 +- 0.4756   0.0134 +- 0.0054
wine_quality      0.0039 +- 0.0009   0.0002 +- 0.0007   0.6386 +- 0.0354   0.0007 +- 0.0007  12.0962 +- 0.4903   0.0011 +- 0.0011   0.6644 +- 0.0695   0.0075 +- 0.0024
solar_flare_m0    0.0029 +- 0.0011   0.0005 +- 0.0005   0.3719 +- 0.0182   0.0010 +- 0.0011   2.4664 +- 0.1222   0.0013 +- 0.0010   0.4469 +- 0.0281   0.0047 +- 0.0013
ozone_level       0.0083 +- 0.0016   0.0004 +- 0.0006   1.3309 +- 0.1468   0.0006 +- 0.0010   4.5053 +- 0.5282   0.0012 +- 0.0008   2.0854 +- 0.3617   0.0121 +- 0.0031
abalone_19        0.0031 +- 0.0011   0.0002 +- 0.0008   0.5035 +- 0.0557   0.0007 +- 0.0013   6.2555 +- 0.8023   0.0010 +- 0.0005   0.4892 +- 0.1153   0.0054 +- 0.0014
