minor             Baseline   RandomOS   IL-SMOTE   NE-maxSP   NE-maxAG   NE-allSP   NE-allAG   NE-KNNSP   NE-KNNAG   NE-SMOTE 
abalone             0.0971     0.9814     0.9305     0.9483 --         --             0.9334 --         --         --         
abalone_19      --             0.9959     0.9507     0.9926 --         --             0.9587 --         --         --         
car_eval_34         0.5602     1.0000     0.9860     0.9940 --         --             0.9566 --         --         --         
car_eval_4          0.3879     1.0000     1.0000     0.9915 --         --             0.9998 --         --         --         
ecoli               0.4274     0.9754     0.9034     0.9681 --         --             0.9370 --         --         --         
optical_digits      0.6857     0.9959     0.9926     0.9901 --         --             0.9990 --         --         --         
ozone_level         0.0364     1.0000     0.9879     0.9762 --         --             0.9800 --         --         --         
sick_euthyroid      0.7462     0.9759     0.9773     0.9832 --         --             0.9757 --         --         --         
solar_flare_m0      0.0282     0.8401     0.9470     0.9589 --         --             0.9740 --         --         --         
spectrometer        0.6463     0.9941     0.9697     0.9698 --         --             0.9861 --         --         --         
thyroid_sick        0.7116     1.0000     0.9911     0.9849 --         --             0.9868 --         --         --         
wine_quality        0.0784     0.9989     0.9316     0.9682 --         --             0.9574 --         --         --         
yeast_me2           0.0601     0.9612     0.9379     0.9781 --         --             0.9557 --         --         --         
yeast_ml8       --             0.9893     0.9378     0.9235 --         --             0.9490 --         --         --         

major             Baseline   RandomOS   IL-SMOTE   NE-maxSP   NE-maxAG   NE-allSP   NE-allAG   NE-KNNSP   NE-KNNAG   NE-SMOTE 
abalone             0.9751     0.8396     0.8394     0.8854 --         --             0.8692 --         --         --         
abalone_19          1.0000     1.0000     0.9844     0.9919 --         --             0.9835 --         --         --         
car_eval_34         0.9962     0.9860     1.0000     0.9894 --         --             0.9969 --         --         --         
car_eval_4          0.9972     0.9918     0.9905     0.9964 --         --             0.9627 --         --         --         
ecoli               0.9699     0.8946     0.9569     0.9023 --         --             0.9785 --         --         --         
optical_digits      0.9998     0.9975     0.9981     0.9986 --         --             0.9812 --         --         --         
ozone_level         0.9979     0.9773     0.9536     0.9839 --         --             0.9755 --         --         --         
sick_euthyroid      0.9895     0.9955     0.9750     0.9806 --         --             0.9858 --         --         --         
solar_flare_m0      0.9868     0.9490     0.9027     0.8993 --         --             0.9485 --         --         --         
spectrometer        0.9971     0.9830     0.9663     0.9882 --         --             0.9894 --         --         --         
thyroid_sick        0.9956     0.9850     0.9892     0.9920 --         --             0.9919 --         --         --         
wine_quality        0.9979     0.9716     0.9621     0.9730 --         --             0.9439 --         --         --         
yeast_me2           0.9974     1.0000     0.9811     0.9756 --         --             0.9808 --         --         --         
yeast_ml8           0.9997     0.9851     0.9193     0.9963 --         --             0.9200 --         --         --         
