dataset                ball - prep       ball - query        ring - prep       ring - query
ecoli             0.0000 +- 0.0000   0.0001 +- 0.0009   0.0253 +- 0.0012   0.0004 +- 0.0006
optical_digits    0.0270 +- 0.0038   0.0006 +- 0.0006   2.0107 +- 0.0528   0.0090 +- 0.0136
abalone           0.0028 +- 0.0008   0.0001 +- 0.0010   0.3752 +- 0.0070   0.0003 +- 0.0007
sick_euthyroid    0.0080 +- 0.0039   0.0000 +- 0.0000   0.7840 +- 0.0150   0.0011 +- 0.0039
spectrometer      0.0012 +- 0.0008   0.0003 +- 0.0008   0.2680 +- 0.0043   0.0006 +- 0.0006
car_eval_34       0.0020 +- 0.0010   0.0001 +- 0.0009   0.2472 +- 0.0096   0.0037 +- 0.0023
us_crime          0.0087 +- 0.0007   0.0004 +- 0.0006   1.0869 +- 0.0100   0.0046 +- 0.0036
yeast_ml8         0.0100 +- 0.0009   0.0001 +- 0.0009   1.3674 +- 0.0140   0.0144 +- 0.0054
car_eval_4        0.0019 +- 0.0009   0.0001 +- 0.0009   0.2604 +- 0.0064   0.0033 +- 0.0037
thyroid_sick      0.0117 +- 0.0007   0.0000 +- 0.0005   1.1599 +- 0.0188   0.0013 +- 0.0036
wine_quality      0.0031 +- 0.0009   0.0002 +- 0.0008   0.4896 +- 0.0110   0.0004 +- 0.0006
solar_flare_m0    0.0024 +- 0.0006   0.0001 +- 0.0009   0.2815 +- 0.0052   0.0011 +- 0.0019
yeast_me2         0.0006 +- 0.0006   0.0001 +- 0.0009   0.1261 +- 0.0072   0.0011 +- 0.0019
ozone_level       0.0079 +- 0.0009   0.0001 +- 0.0009   1.0725 +- 0.0145   0.0006 +- 0.0006
abalone_19        0.0029 +- 0.0010   0.0001 +- 0.0009   0.4093 +- 0.0046   0.0005 +- 0.0005
